Series Name,"Country Name","2020","2021","2022"
"Population, total","East Asia & Pacific (excluding high income)","2116378687","2123628421","2129112126"
"Population, total","East Asia & Pacific (IDA & IBRD countries)","2090523535","2097669023","2103055378"
"Population, total","Euro area","346961127","346942979","348331511"
"Population, total","Europe & Central Asia","922353365","923564027","920375568"
"Population, total","Europe & Central Asia (excluding high income)","400061023","401682855","397824705"
"Population, total","Europe & Central Asia (IDA & IBRD countries)","461273023","462431038","457549063"
"Population, total","European Union","447692315","447178112","447370510"
"Population, total","Fragile and conflict affected situations","979763631","1001844479","1019139254"
"Population, total","Heavily indebted poor countries (HIPC)","838066650","861156745","884288332"
"Population, total","High income","1241718902","1241268556","1244364814"
"Population, total","IBRD only","4867091692","4895372787","4913887020"
"Population, total","IDA & IBRD total","6627317499","6695487825","6754029970"
"Population, total","IDA blend","582637127","595016031","607735968"
"Population, total","IDA only","1177588680","1205099007","1232406982"
"Population, total","IDA total","1760225807","1800115038","1840142950"
"Population, total","Late-demographic dividend","2317277554","2322606486","2325542891"
"Population, total","Latin America & Caribbean","650534986","654980630","659310564"
"Population, total","Latin America & Caribbean (excluding high income)","588011178","592503434","596596955"
"Population, total","Latin America & the Caribbean (IDA & IBRD countries)","634680385","639188695","643602758"
"Population, total","Least developed countries: UN classification","1072970944","1098791080","1124396999"
"Population, total","Low & middle income","6549996251","6618837270","6678280291"
"Population, total","Low income","667053670","685250041","703727949"
"Population, total","Lower middle income","3117225754","3157462375","3190184199"
"Population, total","Middle East & North Africa","479966649","486174763","493279469"
"Population, total","Middle East & North Africa (excluding high income)","411810124","418047201","424328381"
"Population, total","Middle East & North Africa (IDA & IBRD countries)","407006855","413124452","419284769"
"Population, total","Middle income","5882942581","5933587229","5974552342"
"Population, total","North America","369582571","370321816","372280991"
"Population, total","Not classified","..","..",".."
"Population, total","OECD members","1369465369","1371917156","1376606817"
"Population, total","Other small states","32381464","32708277","33169026"
"Population, total","Pacific island small states","2566819","2602173","2639019"
"Population, total","Post-demographic dividend","1117418072","1116569892","1113495082"
"Population, total","Pre-demographic dividend","984213438","1011043183","1038012552"
"Population, total","Small states","42393051","42792327","43313523"
"Population, total","South Asia","1882531620","1901911604","1919348000"
"Population, total","South Asia (IDA & IBRD)","1882531620","1901911604","1919348000"
"Population, total","Sub-Saharan Africa","1151302081","1181163013","1211190002"
"Population, total","Sub-Saharan Africa (excluding high income)","1151203619","1181063755","1211070124"
"Population, total","Sub-Saharan Africa (IDA & IBRD countries)","1151302081","1181163013","1211190002"
"Population, total","Upper middle income","2765716827","2776124854","2784368143"
"Population, total","World","7820205606","7888305693","7950946801"
,"","","",""
,"","","",""
,"","","",""
Data from database: World Development Indicators,"","","",""
Last Updated: 03/28/2024,"","","",""
